sku,display_name,web_price,member_price,description,skills
978-0-13-578358-0-SP,CertPREP Courseware: AWS Developer Associate (DVA-C01) - Self-Paced,$150.00,$150.00,"  Description  AWS Certified Developer – Associate covers the fundamental concepts of AWS uses and services and basic AWS architecture best practices. The certification also covers developing, deploying, and debugging AWS cloud-based applications—all in easy-to-follow modules, videos, and hands-on labs. The goal of this course is to provide you with all the tools you need to prepare for the AWS Certified Developer - Associate (DVA-C01) exam — including text explanations, video demos, lab activities, self-assessment questions, and a practice exam — to increase your chances of passing the exam on your first try. Course components:  Lessons Video learning MeasureUp Practice Test for AWS DVA-C01. Practice Mode with remediation and Certification mode to simulate the test day experience. Labs  Duration: Approximately 24 hours of primary course content. Each learner will progress at their own rate. Prerequisites: None Required course materials: Self-paced CertPREP AWS Developer Associate (DVA-C01) Courseware. Course objectives: Upon successful completion of this course, students should be proficient in:  AWS services and uses Basic AWS architecture best practices Developing, deploying, and debugging cloud-based applications using AWS   ","Cloud Architecture, Cloud Applications, Cloud Computing, Amazon Web Services (AWS), Cloud Architecture, Cloud Applications, Cloud Computing, Amazon Web Services (AWS), "
978-0-13-589819-2,CertPREP Courseware: VCP-DCV for vSphere 7.x (2V0-21.20) - Instructor-Led,$150.00,$150.00,"  Description  The VMware Certified Professional  ̶  Data Center Virtualization (VCP-DCV) for vSphere 7 course focuses on core knowledge and skills needed to successfully install, configure, and manage VMware vSphere 7 environments while also helping you to master the topics on the VMware Certified Professional  ̶  Data Center Virtualization for vSphere 7 exam. Those topics include architecture and technologies; VMware products and solutions; components and requirements; installing, configuring, and setup; performance-tuning, optimization, and upgrades; clusters and high-availability; and administrative and operational tasks. The goal of this course is to demonstrate real-world foundational knowledge of core data concepts and how they are implemented using VCP-DCV for vSphere  ̶  including text explanations, video demos, lab activities, self-assessment questions, and a practice exam  ̶  to increase your chances of passing the exam on your first try. Duration:  5 days of training  Audience: Current and prospective IT professionals, such as system administrators, infrastructure administrators, and virtualization engineers. Passing this exam fulfills your requirements for the VCP-DCV 2021 certification, demonstrating that you have mastered the sills to successfully install, configure, and manage VMware vSphere 7 environments. Prerequisites:  6 to 12 months of vSphere environment experience Foundational knowledge of storage, networking, hardware, security business continuity, and disaster recovery concepts  Required course materials:  Pearson CertPREP VCP-DCV for vSphere 7.x (Exam 2V0-21-20) Official Cert Guide  ","VMware VSphere, Virtual Machines (VM), Disaster Recovery, Virtualization, Hypervisor, Vmware, Configuration Management, Performance Tuning, Data Centers, "
978-0-13-672132-1,CertPREP Courseware: MD-100 Microsoft Windows Client - Instructor-Led,$150.00,$150.00,"  Description  Course description  Exam MD-100 focuses on knowledge needed to install Windows 10; perform post-installation configuration; manage users, groups, and devices; configure devices with local policies; manage Windows security; configure networking; configure data access and protection; configure system and data recovery; manage updates; monitor and manage Windows; and configure remote connectivity.  The goal of this course is to provide you with all the tools you need to prepare for the Microsoft Exam MD-100 and help demonstrate your real-world mastery of skills and knowledge required to deploy, configure, and maintain Windows 10 devices and technologies in an enterprise environment.  Duration: 5 days of training  Audience: Windows Administrators seeking Microsoft 365 certification or wanting to enhance their ability to deploy, configure, secure, manage, and monitor devices and client applications in an enterprise environment.  Prerequisites  1-2 years professional experience working as a Windows Desktop Administrator Experience working with Microsoft Windows 10   Course objectives: Upon successful completion of this course, students should be able to:  Deploy Windows Manage devices and data Configure storage and connectivity Maintain Windows   Required course materials:  Pearson CertPREP Exam Ref MD-100 Windows10, Second Edition   ","Microsoft Windows, Data Recovery, Windows Setup, Storage Management, System Recovery, Microsoft Office 365, Device Management, Configuration Management, Data Security, Microsoft 365, "
978-0-13-672132-1-SP,CertPREP Courseware: MD-100 Microsoft Windows Client - Self-Paced,$150.00,$150.00,"  Description  This self-paced CertPREP MD-100 Microsoft Windows Client course focuses on knowledge needed to install Windows 10; perform post-installation configuration; manage users, groups, and devices; configure devices with local policies; manage Windows security; configure networking; configure data access and protection; configure system and data recovery; manage updates; monitor and manage Windows; and configure remote connectivity. The goal of this course is to provide you with all the tools you need to prepare for the Microsoft Exam MD-100 and help demonstrate your real-world mastery of skills and knowledge required to deploy, configure, and maintain Windows 10 devices and technologies in an enterprise environment. Course components:  Lessons Video learning MeasureUp Practice Test for Microsoft MD-100. Practice Mode with remediation and Certification mode to simulate the test day experience. Labs  Duration: Approximately 40 hours of primary course content. Each learner will progress at their own rate. Audience: Windows Administrators seeking Microsoft 365 certification or wanting to enhance their ability to deploy, configure, secure, manage, and monitor devices and client applications in an enterprise environment. Prerequisites  1-2 years professional experience working as a Windows Desktop Administrator Experience working with Microsoft Windows 10  Required course materials: Self-paced CertPREP MD-100 Microsoft Windows Client course. Course objectives: Upon successful completion of this course, students should be able to:  Deploy Windows Manage devices and data Configure storage and connectivity Maintain Windows   ","Microsoft Windows, Data Recovery, Windows Setup, Storage Management, System Recovery, Device Management, Configuration Management, Data Security, Microsoft 365, "
978-0-13-672139-0,CertPREP Courseware: Microsoft Managing Modern Desktops (MD-101) - Instructor-Led,$150.00,$150.00,"  Description                      The Developing Solutions for Microsoft Azure course demonstrates how to deploy and upgrade operating systems, manage policies and profiles, manage and protect devices, and manage apps and data. If you’re planning to take Exam MD-101 Managing Modern Desktops, this course covers the exam objective domains published by Microsoft in a logical way for learning the technology and preparing for the exam.  The goal of this course is to provide you with all the tools you need to prepare for the MD-101: Managing Modern Desktops exam — including text explanations, video demos, lab activities, self-assessment questions, and a practice exam— to increase your chances of passing the exam on your first try.  Duration:  5 days of training  Audience: IT professionals who deploy, configure, secure, manage, and monitor devices and client applications in an enterprise environment, as well as any IT professionals who manage identity, access, policies, updates, and apps. In addition, any IT professionals who want to explore new and updated features in Windows and/or candidates preparing for Exam MD-101 Managing Modern Desktops.  Prerequisites:  1-2 years professional experience in monitoring, securing, and managing client applications in an enterprise environment Experience deploying, configuring, and maintaining Windows 10 and non-Windows devices Familiarity with M365 workloads Course objectives: Upon successful completion of this course, students should be able to:   Deploy and upgrade operating systems Manage policies and profiles Manage and protect devices Manage apps and data Required course materials:  Pearson CertPREP Managing Modern Desktops, Second Edition   ","Microsoft Operating Systems, Microsoft Windows, Data Management, Device Management, Operating Systems, Policy Governance, "
978-0-13-672158-1-SP,CertPREP Courseware: Developing Solutions for Microsoft Azure (AZ-204) - Self-Paced,$150.00,$150.00,"  Description  This self-paced CertPREP Developing Solutions for Microsoft Azure (AZ-204) course is a great next step for anyone who wants to become well-versed in designing, building, testing, and maintaining cloud applications and services on Microsoft Azure. It covers the crucial concepts of Azure development, from defining and designing requirements, to development, deployment, and maintenance, performance tuning, and monitoring. Azure Developers work with cloud solution architects, cloud DBAs, cloud administrators, and clients to implement solutions. The goal of this course is to provide you with all the tools you need to prepare for the AZ-204: Developing Solutions for Microsoft Azure exam — including text explanations, video demos, lab activities, self-assessment questions, and a practice exam—to increase your chances of passing the exam on your first try. Course components:  Lessons Video learning MeasureUp Practice Test for Microsoft AZ-104. Practice Mode with remediation and Certification mode to simulate the test day experience. Labs  Duration: Approximately 40 hours of primary course content. Each learner will progress at their own rate. Audience: Cloud developers with 1-2 years' professional development experience and experience with Microsoft Azure. In addition, the individual should have ability programming in an Azure-supported language proficiency in Azure SDKs, data storage options, data connections, APIs, app authentication and authorization, compute and container deployment, debugging, performance tuning, and monitoring. Prerequisites:  1-2 years professional experience developing cloud solutions Experience working with Microsoft Azure Fluency in a high-level programming language supported by Microsoft Azure  Required course materials: Self-paced CertPREP Developing Solutions for Microsoft Azure (AZ-204) Courseware. Course objectives: Upon successful completion of this course, students should be able to:  Develop Azure Infrastructure as a service compute solution Develop for Azure storage Implement Azure security Monitor, troubleshoot, and optimize Azure solutions Connect to and consume Azure services and third-party services   ","Azure Cloud Services, Debugging, Microsoft Azure, Containerization, Application Programming Interface (API), Cloud Applications, Cloud Computing, Performance Tuning, Azure Cloud Services, Debugging, Microsoft Azure, Containerization, Application Programming Interface (API), Cloud Applications, Cloud Computing, Performance Tuning, "
978-0-13-674716-1-SP,CertPREP Courseware: CompTIA Cybersecurity Analyst (CySA+) CS0-002 - Self-Paced,$150.00,$150.00,"  Description  This self-paced CompTIA Cybersecurity Analyst (CySA+) CS0-002 course shares preparation hints and test-taking tips, helps you identify areas of weakness and improves both your conceptual knowledge and hands-on skills, including threat and vulnerability management; software and system security; security operations and monitoring; incident response; and compliance and assessment. The goal of this course is to provide you with all the tools you need to prepare for the COMPTIA: Cybersecurity Analyst (CySA+) CS0-002 exam — including text explanations, key tips, key terms, self-assessment questions, and practice exams— to increase your chances of passing the exam on your first try. Course components:  Lessons Video learning MeasureUp Practice Test for CompTIA CS0-002. Practice Mode with remediation and Certification mode to simulate the test day experience. Labs  Duration: Approximately 40 hours of primary course content. Each learner will progress at their own rate. Audience: IT security analysts, vulnerability analysts and threat analysts who have the knowledge and skills required to leverage intelligence and threat detection techniques; analyze and interpret data, identify and address vulnerabilities, suggest preventative measures, and effectively respond to and recover from incidents. Prerequisites:  Four years of hands-on information security or related experience If using this course for an additional certification, or to keep skill sharp, it provides a wide review of many non-vendor specific skills. Network+ or Security+ certification.  Course objectives: Upon successful completion of this course, students should be able to:  Describe vulnerability management activities Implement controls to mitigate attacks and software vulnerabilities Understand security solutions for infrastructure management Explain software and hardware assurance best practices Understand and apply the appropriate incident response Apply security concepts in support of organizational risk mitigation  Required course materials: Self-paced CertPREP CompTIA Cybersecurity Analyst (CySA+) CS0-002 Courseware.  ","Vulnerability Scanning, Data Interpretation, Threat Management, Risk Management, Security, Incident Response, Compliance, Conceptual Thinking, Analytical Skills, Data Analysis, Risk Prevention, Security Management, Vulnerability Management, Incident Management, Vulnerability Assessment, Data Literacy, Security Analysis, Vulnerability Scanning, Data Interpretation, Threat Management, Risk Management, Security, Incident Response, Compliance, Conceptual Thinking, Analytical Skills, Data Analysis, Risk Prevention, Security Management, Vulnerability Management, Incident Management, Vulnerability Assessment, Data Literacy, Security Analysis, "
978-0-13-689007-2-SP,CertPREP Courseware: AWS Certified Cloud Practitioner (CLF-C01) - Self-Paced,$150.00,$150.00,"  Description  This self-paced CertPREP AWS Certified Cloud Practitioner (CFL-C01) course is a launchpad into cloud computing. It covers the fundamental concepts of cloud computing and how it relates to the Amazon Web Services (AWS) network - the world's most-adopted and most-broadly used cloud computing system - and how to apply that knowledge in a huge variety of AWS cloud service situations. This course covers concepts such as global infrastructure, architectural principles, account management, and security. The goal of this course is to provide you with all the tools you need to prepare for the AWS Certified Cloud Practitioner (CLF-C01) exam - including text explanations, video demos, lab activities, self-assessment questions, and a practice exam - to increase your chances of passing the exam on your first try. Course components:  Lessons Video learning MeasureUp Practice Test for AWS CFL-C01. Practice Mode with remediation and Certification mode to simulate the test day experience. Labs  Duration: Approximately 8 hours of primary course content. Each learner will progress at their own rate. Audience: The AWS Certified Cloud Practitioner Certification is intended for individuals who want to kick-start a new career or current professionals who need general cloud computing knowledge. The AWS Certified Cloud Practitioner is a recommended path to achieving further specialty certifications or an optional start toward associate certifications in various disciplines such as solutions architect, SysOps administrator, and developer. Prerequisites:  Six months of experience with the AWS Cloud in any role, including technical, managerial, sales, purchasing, or financial A basic understanding of IT services and their uses in the AWS Cloud platform  Required course materials: Self-paced CertPREP AWS Certified Cloud Practitioner (CFL-C01) Courseware. Course objectives: Upon successful completion of this course, students should be able to:    Define what is meant by the AWS Cloud Describe the basics of the AWS Global Infrastructure Describe basic AWS Cloud architecture principles Describe the value propositions of using AWS Cloud technologies Describe the key services of the AWS platform and the categories these services fall under Describe the AWS shared responsibility model Describe the basic security and compliance capabilities within AWS Define the billing, account management, and pricing models within AWS Identify sources of documentation and support for technical assistance Describe the basics of deploying and operating technologies in the AWS Cloud   ","Information Technology (IT), Account Management, Amazon Web Services (AWS), "
978-0-13-732521-4,CertPREP Courseware: AWS Certified Solutions Architect - Associate (SAA-C02) - Instructor-Led,$150.00,$150.00,"  Description  Course description The AWS Certified Solutions Architect - Associate (SAA-C02) is focused on how CloudWatch logs work and the main design features to consider based on specific needs including: multi-tier architecture solutions; highly available and/or fault-tolerant architectures; decoupling mechanisms using AWS services; resilient storage; elastic and scalable compute solutions; high-performing and scalable storage solutions, networking solutions, database solutions; secure access to AWS resources; secure application tiers; data security options; cost-effective storage solutions and compute and database services; and cost-optimized network architectures. The goal of this course is to demonstrate real-world foundational knowledge of core data concepts and how they are implemented using AWS Certified Solutions Architecture – Associate — including foundation topics, exam preparations tasks, and a practice exam— to increase your chances of passing the exam on your first try. Duration 5 days of training Audience The audience for this training should have one year of experience with AWS services, working as a solutions architect, designing AWS solutions using AWS services. Prerequisites  1 year of experience solving problems and implementing solutions using AWS services Experience working as a solutions architect, designing AWS solutions using AWS services Foundational knowledge of AWS cloud services  Course objectives Upon successful completion of this course, students should be able to:  Design resilient architectures Design high-performing architectures Design secure applications and architectures Design cost-optimized architectures  Required course materials  Pearson CertPREP AWS Certified Solutions Architect - Associate (SAA-C02)   ","Solution Architecture, Problem Management, Problem Solving, Amazon Web Services (AWS), "
978-0-13-741955-5-SP,CertPREP Courseware: (ISC)2 CISSP Certified Information Systems Security Professional - Self-Paced,$150.00,$150.00,"  Description  This self-paced CertPREP (ISC)2 Certified Information Systems Security Professional (CISSP) course is a perfect companion to preparing for the CISSP Exam. It focuses specifically on the objectives for the CISSP exam introduces by (ISC)2 in May 2021. The course will review asset retention, secure provisioning, crypto attacks, machine learning tools, threat hunting, risk-based access control, zero trust, SAML, SOAR, CASB, securing microservices, containers, managed services, and many other topics, while helping you identify areas of weakness and improving your conceptual knowledge and hands-on skills. The goal of this course is to provide you with all the tools you need to prepare for the CISSP Exam — including preparation hints, test-taking tips, time-saving strategies, self-assessment questions, and practice exams — to increase your chances of passing the exam on your first try. Course components:  Lessons Video learning MeasureUp Practice Test for (ISC)2 CISSP. Practice Mode with remediation and Certification mode to simulate the test day experience.  Duration: Approximately 40 hours of primary course content. Each learner will progress at their own rate. Audience:  IT security professionals and security leaders who are interested in seeking certification or who need to maintain their certification.  Prerequisites:  1-2 years professional experience with IT security Experience working with IT security Fluency in security procedures such as business continuity planning, disaster planning, and risk assessment  Required course materials: Self-paced CertPREP (ISC)2 Certified Information Systems Security Professional (CISSP) Courseware. Course objectives: Upon successful completion of this course, students should be able to:  Understand security and risk management Classify information and assets Review security architecture and engineering for vulnerabilities and design flaws Improve communication and network security architectures, components, and channels Strengthen identity and access management (IAM) controls, services, and provisioning Enhance security assessment and testing designs to collect and process data to support audits Manage security operations Required course materials: Pearson CertPREP CISSP Exam Cram Courseware   ","Disaster Planning, Risk Assessment, Network Architecture, Information Technology (IT), Conceptual Thinking, Asset Management, Network Security, Security Management, "
