,sku,name,id,confidence,description
0,978-0-13-810750-5,Cascading Style Sheets (CSS),FS001041,0.9953012466430664,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.
1,978-0-13-810750-5,HyperText Markup Language (HTML),FS003624,0.999333679676056,HTML is a markup language used to create documents for the World Wide Web
2,978-0-13-810750-5,HTML5,FS003578,0.994462788105011,HTML5 is a markup language used for structuring and presenting content on the World Wide Web.
3,978-0-13-810750-5,Web Development,FS007955,0.9922143816947936,Web development is the work involved in developing a website for the Internet (World Wide Web) or an intranet (a private network).
4,978-0-13-810750-5,JavaScript (JS),FS004038,0.897363543510437,"JavaScript, or JS, is a programming language that is one of the core technologies of the World Wide Web, alongside HTML and CSS."
5,978-0-13-810750-5,JavaScript Frameworks,FS004039,0.9753780364990234,A JavaScript framework is a set of libraries that can be used to create Web applications
6,978-0-13-810750-5,Content Management (CM),FS001632,0.9168720245361328,"Content management (CM) is a set of processes and technologies that supports the collection, managing, and publishing of information in any form or medium."
7,978-0-13-810750-5,Application Development,FS000377,0.9297949075698853,"Application development is the process of designing, coding, testing, and debugging an application"
8,978-0-13-810750-5,Web Application Development,FS007947,0.9967256784439088,Web application development is the process of developing a web application
9,978-0-13-810750-5,Web Engineering,FS007956,0.9893651008605956,Web engineering is the process of designing and developing a web site
10,978-0-13-810750-5,Web Design,FS007954,0.8938677906990051,Web design encompasses many different skills and disciplines in the production and maintenance of websites.
11,CPC-ITS-CLOUD-VUE,Cloud Infrastructure,FS001339,0.9424554109573364,"Cloud infrastructure is the group of technologies that are required to build, deploy and manage an application in the cloud"
12,CPC-ITS-CLOUD-VUE,Cloud Computing,FS001335,0.9877113699913024,"Cloud computing is the on-demand availability of computer system resources, especially data storage (cloud storage) and computing power, without direct active management by the user."
13,CPC-ITS-CLOUD-VUE,Cloud Architecture,FS001334,0.991209864616394,"Cloud architecture describes the design of software-based systems that deliver services over networks, as opposed to on-premises systems"
14,CPC-ITS-CLOUD-VUE,Cloud Applications,FS001333,0.9987863898277284,Cloud Applications are applications that are hosted on Cloud Servers
15,CPC-ITS-CLOUD-VUE,Cloud-Based Testing,FS001343,0.9955768585205078,Cloud-based testing is a type of software testing that uses the cloud to provide all or part of the infrastructure needed to support the testing process
16,CPC-ITS-CLOUD-VUE,Governance,FS003319,0.9876147508621216,"Governance encompasses the system by which an organisation is controlled and operates, and the mechanisms by which it, and its people, are held to account."
17,CPC-ITS-CLOUD-VUE-SP,Cloud Infrastructure,FS001339,0.9424554109573364,"Cloud infrastructure is the group of technologies that are required to build, deploy and manage an application in the cloud"
18,CPC-ITS-CLOUD-VUE-SP,Cloud Computing,FS001335,0.9877113699913024,"Cloud computing is the on-demand availability of computer system resources, especially data storage (cloud storage) and computing power, without direct active management by the user."
19,CPC-ITS-CLOUD-VUE-SP,Cloud Architecture,FS001334,0.991209864616394,"Cloud architecture describes the design of software-based systems that deliver services over networks, as opposed to on-premises systems"
20,CPC-ITS-CLOUD-VUE-SP,Cloud Applications,FS001333,0.9987863898277284,Cloud Applications are applications that are hosted on Cloud Servers
21,CPC-ITS-CLOUD-VUE-SP,Cloud-Based Testing,FS001343,0.9955768585205078,Cloud-based testing is a type of software testing that uses the cloud to provide all or part of the infrastructure needed to support the testing process
22,CPC-ITS-CLOUD-VUE-SP,Governance,FS003319,0.9876147508621216,"Governance encompasses the system by which an organisation is controlled and operates, and the mechanisms by which it, and its people, are held to account."
23,978-0-13-806575-1,Stored Procedures,FS007086,0.9962723255157472,A stored procedure is a custom function available to applications that access a relational database management system (RDBMS) that is run on the database server to modify results of a query.
24,978-0-13-806575-1,Database Management,FS008263,0.9797717928886414,Database Management is the process of managing a database
25,978-0-13-806575-1,Database Queries,FS001986,0.8764002919197083,Database queries are commands that are used to retrieve data from a database
26,978-0-13-806575-1,Database Design,FS001981,0.9694785475730896,Database design is the organization of data according to a database model.
27,978-0-13-806575-1,Records Management,FS006181,0.9901214838027954,"Records management, also known as records and information management, is an organizational function devoted to the  management of information in an organization throughout its life cycle, from the time of creation or receipt to its eventual disposition."
28,978-0-13-806575-1,Database Administration,FS001978,0.9963886737823486,Database administration is the function of managing and maintaining database management systems (DBMS) software.
29,978-0-13-806575-1,Database Development,FS001982,0.9409128427505492,Database development is the process of designing and creating a database
30,978-0-13-806575-1,Database Systems,FS001990,0.9951022863388062,A database system is a collection of data and the software designed to manage it
31,978-0-13-806575-1,Reporting,FS008288,0.9953961968421936,Reporting is the process of producing reports that convey information to an audience in an understandable fashion.
32,Pearson-ITS-AI-VUE,Data Visualization,FS001974,0.9380785822868348,Data visualization refers to the use of graphics to communicate information
33,Pearson-ITS-AI-VUE,Data Analysis,FS001897,0.8743417859077454,"Data analysis is a process of inspecting, cleansing, transforming, and modelling data with the goal of discovering useful information, informing conclusions, and supporting decision-making."
34,Pearson-ITS-AI-VUE,Machine Learning (ML),FS004409,0.9536342024803162,Machine learning (ML) is the study of computer algorithms that can improve automatically through experience and by the use of data.
35,Pearson-ITS-AI-VUE,Artificial Intelligence (AI),FS000456,0.8719881772994995,"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to natural intelligence displayed by animals including humans."
36,Pearson-ITS-AI-VUE,Data Transformation,FS001971,0.9835484623908995,"In computing, Data transformation is the process of converting data from one format or structure into another format or structure."
37,Pearson-ITS-AI-VUE,Data Extraction,FS001921,0.9940539002418518,Data extraction is the act or process of retrieving data out of (usually unstructured or poorly structured) data sources for further data processing or data storage (data migration).
38,Pearson-ITS-AI-VUE,Data Conversion,FS001910,0.9873102903366088,Data conversion is the conversion of computer data from one format to another.
39,Pearson-ITS-AI-VUE,Applications Of Artificial Intelligence,FS000391,0.971888780593872,Artificial intelligence applications are systems that apply artificial intelligence techniques to real-world situations
40,Pearson-ITS-AI-VUE,Cluster Development,FS001346,0.9902931451797484,Cluster development (or cluster initiative or economic clustering) is the economic development of business clusters.
41,Pearson-ITS-AI-VUE,Cluster Analysis,FS001345,0.975152850151062,Cluster analysis or clustering is the task of grouping a set of objects in such a way that objects in the same group (called a cluster) are more similar (in some sense) to each other than to those in other groups (clusters).
42,Pearson-ITS-AI-VUE,Computer Clusters,FS001518,0.9509000182151794,A computer cluster is a set of computers that work together so that they can be viewed as a single system.
43,Pearson-ITS-AI-VUE,Regression Analysis,FS006241,0.9977492690086364,"In statistical modeling, regression analysis is a set of statistical processes for estimating the relationships between a dependent variable (often called the 'outcome' or 'response' variable) and one or more independent variables (often called 'predictors', 'covariates', 'explanatory variables' or 'features')."
44,Pearson-ITS-AI-VUE,Linear Regression,FS004320,0.998990833759308,"In statistics and econometrics, linear regression is a method of modeling the relationship between a scalar dependent variable and one or more explanatory variables, in which the variables are modeled as linear combinations of the independent variables"
