skill_id,forecast_date,forecast_mean,forecast_95_conf_upper,forecast_95_conf_lower
FS007947,2023-06-01,7409622.0,4242961.0,10576283.0
FS007947,2023-07-01,11204972.0,7825101.5,14584842.5
FS007947,2023-08-01,11030394.0,7237437.25,14823350.75
FS007947,2023-09-01,11215290.0,7012578.0,15418002.0
FS007947,2023-10-01,10475191.0,5849326.0,15101056.0
FS007947,2023-11-01,7675958.5,2482509.5,12869407.5
FS007956,2023-06-01,7409622.0,4242961.0,10576283.0
FS007956,2023-07-01,11204972.0,7825101.5,14584842.5
FS007956,2023-08-01,11030394.0,7237437.25,14823350.75
FS007956,2023-09-01,11215290.0,7012578.0,15418002.0
FS007956,2023-10-01,10475191.0,5849326.0,15101056.0
FS007956,2023-11-01,7675958.5,2482509.5,12869407.5
FS004038,2023-06-01,7409622.0,4242961.0,10576283.0
FS004038,2023-07-01,11204972.0,7825101.5,14584842.5
FS004038,2023-08-01,11030394.0,7237437.25,14823350.75
FS004038,2023-09-01,11215290.0,7012578.0,15418002.0
FS004038,2023-10-01,10475191.0,5849326.0,15101056.0
FS004038,2023-11-01,7675958.5,2482509.5,12869407.5
FS001041,2023-06-01,7409622.0,4242961.0,10576283.0
FS001041,2023-07-01,11204972.0,7825101.5,14584842.5
FS001041,2023-08-01,11030394.0,7237437.25,14823350.75
FS001041,2023-09-01,11215290.0,7012578.0,15418002.0
FS001041,2023-10-01,10475191.0,5849326.0,15101056.0
FS001041,2023-11-01,7675958.5,2482509.5,12869407.5
FS003624,2023-06-01,7409622.0,4242961.0,10576283.0
FS003624,2023-07-01,11204972.0,7825101.5,14584842.5
FS003624,2023-08-01,11030394.0,7237437.25,14823350.75
FS003624,2023-09-01,11215290.0,7012578.0,15418002.0
FS003624,2023-10-01,10475191.0,5849326.0,15101056.0
FS003624,2023-11-01,7675958.5,2482509.5,12869407.5
FS007955,2023-06-01,7409622.0,4242961.0,10576283.0
FS007955,2023-07-01,11204972.0,7825101.5,14584842.5
FS007955,2023-08-01,11030394.0,7237437.25,14823350.75
FS007955,2023-09-01,11215290.0,7012578.0,15418002.0
FS007955,2023-10-01,10475191.0,5849326.0,15101056.0
FS007955,2023-11-01,7675958.5,2482509.5,12869407.5
FS007954,2023-06-01,7409622.0,4242961.0,10576283.0
FS007954,2023-07-01,11204972.0,7825101.5,14584842.5
FS007954,2023-08-01,11030394.0,7237437.25,14823350.75
FS007954,2023-09-01,11215290.0,7012578.0,15418002.0
FS007954,2023-10-01,10475191.0,5849326.0,15101056.0
FS007954,2023-11-01,7675958.5,2482509.5,12869407.5
FS003578,2023-06-01,7409622.0,4242961.0,10576283.0
FS003578,2023-07-01,11204972.0,7825101.5,14584842.5
FS003578,2023-08-01,11030394.0,7237437.25,14823350.75
FS003578,2023-09-01,11215290.0,7012578.0,15418002.0
FS003578,2023-10-01,10475191.0,5849326.0,15101056.0
FS003578,2023-11-01,7675958.5,2482509.5,12869407.5
FS000377,2023-06-01,7409622.0,4242961.0,10576283.0
FS000377,2023-07-01,11204972.0,7825101.5,14584842.5
FS000377,2023-08-01,11030394.0,7237437.25,14823350.75
FS000377,2023-09-01,11215290.0,7012578.0,15418002.0
FS000377,2023-10-01,10475191.0,5849326.0,15101056.0
FS000377,2023-11-01,7675958.5,2482509.5,12869407.5
FS001335,2023-06-01,7409622.0,4242961.0,10576283.0
FS001335,2023-07-01,11204972.0,7825101.5,14584842.5
FS001335,2023-08-01,11030394.0,7237437.25,14823350.75
FS001335,2023-09-01,11215290.0,7012578.0,15418002.0
FS001335,2023-10-01,10475191.0,5849326.0,15101056.0
FS001335,2023-11-01,7675958.5,2482509.5,12869407.5
FS001343,2023-06-01,7409622.0,4242961.0,10576283.0
FS001343,2023-07-01,11204972.0,7825101.5,14584842.5
FS001343,2023-08-01,11030394.0,7237437.25,14823350.75
FS001343,2023-09-01,11215290.0,7012578.0,15418002.0
FS001343,2023-10-01,10475191.0,5849326.0,15101056.0
FS001343,2023-11-01,7675958.5,2482509.5,12869407.5
FS001333,2023-06-01,7409622.0,4242961.0,10576283.0
FS001333,2023-07-01,11204972.0,7825101.5,14584842.5
FS001333,2023-08-01,11030394.0,7237437.25,14823350.75
FS001333,2023-09-01,11215290.0,7012578.0,15418002.0
FS001333,2023-10-01,10475191.0,5849326.0,15101056.0
FS001333,2023-11-01,7675958.5,2482509.5,12869407.5
FS001339,2023-06-01,7409622.0,4242961.0,10576283.0
FS001339,2023-07-01,11204972.0,7825101.5,14584842.5
FS001339,2023-08-01,11030394.0,7237437.25,14823350.75
FS001339,2023-09-01,11215290.0,7012578.0,15418002.0
FS001339,2023-10-01,10475191.0,5849326.0,15101056.0
FS001339,2023-11-01,7675958.5,2482509.5,12869407.5
FS001334,2023-06-01,7409622.0,4242961.0,10576283.0
FS001334,2023-07-01,11204972.0,7825101.5,14584842.5
FS001334,2023-08-01,11030394.0,7237437.25,14823350.75
FS001334,2023-09-01,11215290.0,7012578.0,15418002.0
FS001334,2023-10-01,10475191.0,5849326.0,15101056.0
FS001334,2023-11-01,7675958.5,2482509.5,12869407.5
FS003319,2023-06-01,7409622.0,4242961.0,10576283.0
FS003319,2023-07-01,11204972.0,7825101.5,14584842.5
FS003319,2023-08-01,11030394.0,7237437.25,14823350.75
FS003319,2023-09-01,11215290.0,7012578.0,15418002.0
FS003319,2023-10-01,10475191.0,5849326.0,15101056.0
FS003319,2023-11-01,7675958.5,2482509.5,12869407.5
FS001981,2023-06-01,7409622.0,4242961.0,10576283.0
FS001981,2023-07-01,11204972.0,7825101.5,14584842.5
FS001981,2023-08-01,11030394.0,7237437.25,14823350.75
FS001981,2023-09-01,11215290.0,7012578.0,15418002.0
FS001981,2023-10-01,10475191.0,5849326.0,15101056.0
FS001981,2023-11-01,7675958.5,2482509.5,12869407.5
FS001982,2023-06-01,7409622.0,4242961.0,10576283.0
FS001982,2023-07-01,11204972.0,7825101.5,14584842.5
FS001982,2023-08-01,11030394.0,7237437.25,14823350.75
FS001982,2023-09-01,11215290.0,7012578.0,15418002.0
FS001982,2023-10-01,10475191.0,5849326.0,15101056.0
FS001982,2023-11-01,7675958.5,2482509.5,12869407.5
FS001986,2023-06-01,7409622.0,4242961.0,10576283.0
FS001986,2023-07-01,11204972.0,7825101.5,14584842.5
FS001986,2023-08-01,11030394.0,7237437.25,14823350.75
FS001986,2023-09-01,11215290.0,7012578.0,15418002.0
FS001986,2023-10-01,10475191.0,5849326.0,15101056.0
