sku,name,id,confidence,description,skill_percentage_rolling,skill_changes_1y,in_demand
978-0-13-810750-5,Cascading Style Sheets (CSS),FS001041,0.9953012466430664,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.,0.0072730747069565,-0.1603154119707547,True
978-0-13-802717-9-SP,Cascading Style Sheets (CSS),FS001041,0.9951327443122864,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.,0.0072730747069565,-0.1603154119707547,True
978-0-13-802717-9,Cascading Style Sheets (CSS),FS001041,0.9773188233375548,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.,0.0072730747069565,-0.1603154119707547,True
978-0-13-810748-2,Cascading Style Sheets (CSS),FS001041,0.9892950654029846,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.,0.0072730747069565,-0.1603154119707547,True
978-0-13-810750-5,HyperText Markup Language (HTML),FS003624,0.999333679676056,HTML is a markup language used to create documents for the World Wide Web,0.0086619805874593,-0.1834273545820456,True
978-0-13-802717-9-SP,HyperText Markup Language (HTML),FS003624,0.8791584372520447,HTML is a markup language used to create documents for the World Wide Web,0.0086619805874593,-0.1834273545820456,True
978-0-13-802717-9,HyperText Markup Language (HTML),FS003624,0.8791584372520447,HTML is a markup language used to create documents for the World Wide Web,0.0086619805874593,-0.1834273545820456,True
978-0-13-810748-2,HyperText Markup Language (HTML),FS003624,0.9930826425552368,HTML is a markup language used to create documents for the World Wide Web,0.0086619805874593,-0.1834273545820456,True
978-0-13-810748-2-SP,HyperText Markup Language (HTML),FS003624,0.9959806203842164,HTML is a markup language used to create documents for the World Wide Web,0.0086619805874593,-0.1834273545820456,True
978-0-13-810750-5,HTML5,FS003578,0.994462788105011,HTML5 is a markup language used for structuring and presenting content on the World Wide Web.,0.0022036542058364,-0.2379372972324579,False
